a,a:一|d:一道
disfeature,v:毁容
disfigure,"v:毁容,损害"
disfigurement,n:破相
disgorge,"v:吐,呕吐,流出"
disgorge ill-gotten gains,v:退赃
disgorgement,n:吐
disgrace,"n:耻辱,丢脸,失宠,屈辱|v:玷污,贬黜"
disgraced,a:羞
disgraceful,"a:可耻,难看,不名誉,寒碜,丑,臭"
disgraceful behavior,n:行径
disgruntled,a:怏怏
disguise,"v:掩饰,隐瞒,装扮,假扮|n:借口,幌子"
disguise as,v:扮作
disguise oneself,"v:乔装打扮,化装"
disguise oneself as,"v:改扮,扮"
disgust,"n:厌恶|v:嫌恶,恶|a:恶"
disgusting,"a:恶心,臭,恶劣|v:不堪入目,德行,穷极无聊,讨厌,不堪入耳,作呕|n:德行"
disgusting manner,n:丑态
disgusting smile,n:嬉皮笑脸
dish,"n:菜,盘子,盘,碟子,菜肴,盘状|v:打败"
dish out,"v:上菜,分发"
dish towel,n:搌布
dish up,"v:提出,炮制"
dish washer,n:洗碗机
dishabille,"n:混乱,便服,杂乱"
dishcloth,"n:搌布,抹布"
dishcloth gourd,n:丝瓜
disheartened,"a:悲观失望,凉,沮丧|n:灰|v:灰"
disheartenment,n:沮丧
dished,"a:瘪,凹|v:凹陷"
dishevel,v:搅乱
disheveled,a:蓬乱|v:披头散发
dishevelled,"a:蓬乱,散乱,乱蓬蓬|v:披头散发"
dishoard,v:脱手
dishonest practices,"n:邪门歪道,歪门邪道"
dishonest trader,n:奸商
dishonesty,"n:阴险,狡猾"
dishonor,"v:玷辱,羞辱,丢面子,拒付,拒收,败坏|n:耻辱"
dishonor bill,n:退票
dishonor check,n:空头支票
dishonor one's commission,v:辱命
dishonorable,"a:不端,鬼祟"
dishonour,"n:不名誉,拒收,丢脸,侮辱,拒付|v:丢面子,羞辱,败坏,侮辱,奸污"
dishonourable,"a:鬼祟,不端"
dishwasher,n:洗碗机
dish-washing machine,n:洗碗机
disillusion,n:幻灭|v:醒悟
disillusionment,n:幻灭
disinclination,"n:不愿,厌恶"
disinclined,a:不愿
disincorporate,v:解散
disinfect,"v:消毒,洗净,杀菌|n:消毒剂"
disinfectant,n:消毒剂
disinfectfection,"n:消毒,灭菌"
disinfection,"n:消毒,灭菌"
disinfector,n:消毒剂
disinfestant,n:杀虫剂
disinherit,v:废
disintegrate,"v:解体,土崩瓦解,蜕变,崩,崩溃,分化,分裂,衰变,分解,碎,瓦解,溃散,冰消瓦解"
disintegration,"n:蜕变,瓦解,崩溃,分裂,衰变,溅射,溃散|v:衰变,蜕变"
disintegrator,n:粉碎机
disinterest,n:冷淡
disinterested,a:无私
disinterment,v:发掘|n:发掘
disinvestment,n:蚀本
disjection,n:分散
disjoin,"v:分开,拆散"
disjoint,"v:脱位,解体,脱臼,拆散,分离,脱开,打乱,脱节"
disjunction,"n:间断,分离,折断|v:间断"
disjunctor,n:开关
disk,"n:磁盘,盘,圆盘,软磁盘,唱片,花盘,铁饼,盘状|v:灌"
diskette,"n:磁盘,磁碟,软磁盘"
dislike,"v:讨厌|a:反感,恶|n:讨厌"
dislocate,"v:脱臼,失调,脱位"
dislocation,"n:混乱,断层,脱臼,移动,错位,打乱,脱位,转移,位移|v:错位,脱位,移动,转移"
dislocation lake,n:断层湖
dislodge,"v:去除,驱逐,赶走"
dislodgment,n:驱逐
disloyal,"a:不义,贰"
disloyalty,"n:不义,二心,贰心"
dismal,"a:阴郁,暗淡,惨淡,悲凉,暮气沉沉,黯淡,黯淡无光"
dismantle,"v:拆卸,拆开,拆除,解体,卸,拆,脱掉,下,摧毁,撤除,拆散,拆毁"
dismantlement,v:拆卸|n:拆卸
dismantling,"v:拆散,拆卸"
dismay,"n:沮丧,惊愕|v:灰心,沮丧"
dismayed,v:心慌
dismember,"v:剐,割裂,瓜分,肢解,支解"
dismemberment,"n:肢解,支解|v:肢解,拆散"
dismiss,"v:解雇,辞退,打发,开除,撤职,解,解散,免职,放学,散会,驳回,忘掉,辞,消除,屏除,撇开,遣散,放弃,革,黜,裁,搁置,罢免,断,摈斥,撸,革出,免,革职,罢,罢职,摒,革除,开革"
dismiss altogether,v:一风吹
dismiss an employee,v:解聘
dismiss from office,v:已
dismiss lightly,v:轻描淡写
dismissal,"n:解雇,免职,开除,驳回,撤职,遣散,解散"
dismount,v:下马|n:下马
dismounting,"v:拆散,拆卸"
disney,n:迪斯尼
disobedience,n:不孝
disobedience to orders,n:抗命
disobey,"v:违抗,不服,违,逆,违拗,违忤,迕,拗,抗命,违逆"
disobey instructions,v:拿三搬四
disobey orders,"v:抗命,违令"
disobey rules,v:违纪
disoblige,v:得罪
disoperation,v:侵害
disorbit,v:脱轨
disorder,"n:混乱,紊乱,骚乱,骚动,杂乱,缺陷|a:混乱,杂乱|v:颠三倒四"
disordered,v:颠倒|a:乱
disorderliness,"n:混乱,骚乱"
disorderly,a:杂乱|v:错落
disorderly band,n:乌合之众
disorderly house,"n:赌场,妓院"
disorganise,"v:打乱,瓦解"
disorganization,"n:混乱,瓦解,分裂,紊乱"
disorganize,"v:打乱,扰乱,瓦解"
disorganized,a:杂乱无章
disorientation in flight,n:迷航
disowned dogs,n:丧家之犬
disparage,"v:贬损,轻视,轻蔑,指责,污蔑,作践,贬低"
disparagement,"n:轻蔑,轻视,贬损,贬低"
disparity,"n:悬殊,差别,差异,剪刀差,差价,不同,不等,差距"
dispark,v:开放
dispart,"v:分离,分裂"
dispassion,"n:冷静,公平"
dispassionately,d:平心静气
dispatch,"v:派,发出,发送,派遣,打死|n:快信"
dispatch troops,"n:举兵,兴师,出师"
dispatcher,"n:调度员,调度,提调,发送者,收发|v:提调"
dispatching,v:发送
dispel,"v:消除,驱散,消释,祛除,拨,冲散,打消,散,释,消解,排解,排遣,消,祛,解"
dispel heat,v:祛暑
dispensary,"n:诊疗所,药房,门诊部,酒店"
dispensation,"n:处理,天命,豁免,施行,不用,管理,制度,体制,天道,处方,分配,免除,执行"
dispensatory,n:药房
dispense,"v:发,免除,放弃,分配,免,分发,摆脱,豁免,配,屏除,施与,施行,实施,发放,摈除,发配"
dispense charity,v:舍
dispense medicines,v:配药
dispense with,"v:摈除,屏除,放弃,离,免"
dispenser,n:药剂师
dispersal,"n:分散,驱散"
dispersant,n:分散剂
disperse,"v:驱散,散开,分散,消散,散,散布,弥散,传播,驱,疏开,疏,部署,发,挥,散射,冲散,解散,涣,打散"
disperse dyes,v:分散染料
dispersed,v:疏散
disperser,n:分散剂
dispersion,"n:分散,散布,色散,弥散,消散,离散,散射,疏散,传播,散开|v:疏散"
dispersive,a:散
dispirited,"a:颓废,颓丧,心灰意冷,沮丧,委靡,萎靡,丧气,颓唐|v:郎当,意懒心灰,委靡不振|n:郎当"
displace,"v:取代,置换,顶替,撤换,替换,转移,错位"
displacement,"n:位移,置换,排水量,取代,移动,代替,转移,流离失所|v:顶替,转移,移动,置换"
display,"v:显示|n:展览品,展示,陈设"
display device,n:显示器
display for appraisal,n:展评
display mass heroism,n:群威群胆
display of splendor,n:排场
display one's ignorance,v:露怯
display one's power,v:施威
display rousing zeal,v:干劲冲天
display tube,n:显像管
display vigour,"n:振作,振刷"
displayer,n:显示器
displaying full courtesy,"n:毕恭毕敬,必恭必敬"
displease,"v:触怒,得罪"
displeased,a:不悦
displeasure,"n:不快,生气,发怒"
disport,"v:游戏,娱乐,耍,玩耍,玩|n:玩耍,娱乐"
disposable,a:一次性
disposal,"n:处理,处置,安排,出售,使用权,布置,配置|v:处理"
dispose,"v:处理,布置,安排,除掉,脱手,处置,解决,杀掉|n:布"
dispose of,"v:了,解决,出脱,脱手,出手,处置"
dispose troops,v:部署
disposed,"a:愿意,乐意"
disposition,"n:性格,性情,脾气,气质,生性,倾向,意向,布置,处置,处理,神意,气性,质地,安排,素质,天命,性,性质,秉性,脾性,体性,心性,意气"
dispossess,"v:剥夺,霸占,逐出"
dispossession,"n:强占,霸占,抢夺"
disposure,"n:免除,心境,出让,安排,性情,处置,意向,管理,布置,部署"
dispraise,"n:非难,骂,毁谤,指责,贬损"
disprize,v:贱视
disproof,"n:反证,反驳|v:反驳"
disproportion,n:失调
disprove,"v:驳斥,反驳,反证"
disputation,"n:辩论,争论,议论"
dispute,"v:争论|n:纷争,事端"
disputed case,v:疑案
disquiet,"n:不安,忧虑|v:打搅,忧虑"
disquietude,"n:不安,焦虑,忧虑"
disquisition,n:研究
disrate,"v:降价,降级"
disregard,"v:无视,不顾|n:轻视,不理|c:不管"
disregard entirely,v:置之度外
disregard of safety,n:舍死忘生
disregard personal feelings,v:有理无情
disregard the law,v:目无法纪
disregardful,"a:不顾,忽视"
disregarding specific conditions,n:生搬硬套
disrelated,v:不相干
disrelation,n:不相干
disrelish,"v:讨厌,嫌|n:嫌恶,讨厌"
disremember,"v:忘记,忘掉"
disrepair,"n:破损,失修|v:失修"
disreputability,n:声名狼藉
disreputable,a:不名誉
disreputable gang,"n:狐朋狗友,狐群狗党"
disrepute,"n:丢脸,声名狼藉"
disrespect,"n:失敬,失礼,无礼|v:失礼,无礼"
disrespectful,a:谩
disroot,"v:根除,消除"
disrupt,"v:破坏,分裂,搞垮,打断,断裂"
disruption,"n:分裂,中断,瓦解|v:分裂,击穿"
dissatisfaction,"n:不满,不平,失望"
dissatisfactory,v:不尽人意|a:不尽人意
dissatisfied,a:不满
dissect,"v:剖析,解剖,切割,分割,切开,剖,析,剖解,剖开"
dissection,"n:解剖,切割|v:解剖"
disseisin,n:霸占
dissemble,"v:掩饰,假装,矫,隐藏,作伪,矫饰,作假"
dissembler,n:伪君子
disseminate,"v:传播,普及,撒,散布|n:布"
dissemination,"n:传播,散布,转播,播种,浸染"
dissension,"n:纠纷,分歧,讧,不合,冲突,倾轧"
dissent,"n:异议,异同"
dissentient,n:异议
dissepiment,"n:隔膜,隔壁"
dissererance,v:分割
dissert,"v:讲演,论述,论说"
dissertate,v:论述
dissertation,"n:论文,论述,论"
disserve,"v:危害,伤害,损害"
disservice,"n:危害,损害,伤害"
dissever,"v:分割,分离,分裂,分手"
disseverance,n:分割
dissidence,"n:异议,不同"
dissident,n:异己
dissimilarity,"n:不同,差别,差"
dissimilate,"v:不同,异化"
dissimilation,"n:相异,异化,异化作用"
dissimilitude,"n:相异,对比,不同"
dissimulate,"v:假装,作伪,掩饰,作假"
dissimulation,n:掩饰
dissipate,"v:浪费,消散,驱散,挥霍,暴殄天物,放荡,散失,放电"
dissipate of,v:发散
dissipate one's fortune,v:倾家荡产
dissipated,a:放荡|v:糜烂
dissipation,"n:放荡,损耗,消遣,消散,消耗,娱乐|a:糜费|v:浪费"
dissociate,"v:分离,分裂,游离,离异"
dissociation,"n:分解,分离,分裂,变异,离异|v:离析"
dissolubility,"n:可溶性,溶度"
dissolute,"a:放荡,放浪,风流,荒淫,猖,荡,佚,荒,浪荡,放肆,腐化"
dissolute woman,n:荡妇
dissolution,"n:解散,溶解,崩溃,解除,消亡,分离,腐朽,消失,液化,解体,清算,分解,死亡,废除,融化,取消"
dissolvable,n:可溶性
dissolve,"v:溶解,消失,解散,溶,解开,解除,融化,崩溃,溶化,失效,化,揭开,软化,分解,融解,摧毁,打破,撤消,废除,化解,冰消瓦解,取消,冰释"
dissolve in,v:溶入
dissolvent,n:溶剂
dissonance,"n:倾轧,不和"
dissuade,"v:劝阻,告诫,劝止,劝戒"
dissuade from,v:告诫
dissuade somebody from,v:劝阻
dissuasion,"n:劝戒,制止,告诫,劝阻"
dissuasive,a:劝阻
distaff,"n:妇道,母系"
distain,"v:小看,污辱"
distance,"n:距离,远处,地,远方,路,路程,疏远,远离,隔阂,远近|v:距,超过,隔开,胜过"
distance between shafts,n:轴距
distance of run,n:行程
distance of sight,n:视距
distance plate,n:隔板
distance traveled,"n:路程,行程"
distant,"a:遥远,远,辽,生分,悠远,邈,疏,逖,遥,遐,幽幽,悠然,辽远"
distant control,n:遥控
distant in relationship,a:远
distant land,n:裔
distant neighbor,"n:远郊,远邻"
distaste,n:厌恶
distasteful,a:反感
distemper,"n:疾病,骚动,不安"
distend,v:膨胀|a:胀
distension,n:膨胀
distention,n:膨胀
distich,n:对联
distil,"v:蒸馏,滴落,渗出,提制"
distill,"v:蒸馏,渗出,提制,提取,滴落"
distillate,"n:浓缩物,精华"
distillation,"n:蒸馏,升华|v:升华,蒸馏"
distillatory,n:蒸馏器
distiller,"n:糟行,蒸馏器"
distiller's yeast,"n:酴,酒母,酒曲"
distillery,"n:糟行,槽坊,酒厂"
distillment,n:蒸馏
distilment,n:蒸馏
distinct,"a:不同,明显,清楚,清晰,明晰,分明,各别,缪,清,鲜明,洗,明|v:洗"
distinction,"n:区别,区分,差别,荣誉,特征,特性,卓越,盛名,别,优越,甄别|v:甄别"
distinctive,"a:独特,与众不同,鲜明|v:与众不同"
distinctive character,n:本色
distinctiveness,n:特殊性
distinctly,"d:显然,真,各别|a:逼真"
distinctness,n:不同
distinguish,"v:区别,区分,辨别,分辨,辨认,识别,分清,别,分,区,分辩,判,判明,鉴别,辨,分别,甄,仳,判别,划清"
distinguish between,v:分清
distinguish carefully,v:细别
distinguish oneself,v:大显身手
distinguished,"a:杰出,卓越,杰,挺,特出,卓著|v:鹤立鸡群,达,挺"
distinguished men,n:贤士
distinguished personages,n:名流
distinguished service,n:殊勋
distinguished visitors,n:贵客
distord facts,v:颠倒黑白
distort,"v:歪曲,变形,扭曲,失真,曲解,枉|n:扭曲"
distort facts,v:指鹿为马
distort truth,v:颠倒是非
distorted conclusion,n:穿凿附会
distorting mirror,v:哈哈镜
distortion,"n:失真,变形,歪曲,畸变,曲解,扭曲,窜改,扭转"
distortionist,n:漫画家
distract,"v:分散,分心,排遣,岔开,消遣,娱乐"
distracted,"a:怅惘,六神无主,凄迷|v:愣"
distracting thought,n:杂念
distracting thoughts,n:杂念
distraction,"n:发狂,消遣,分心,娱乐,排遣,心烦"
distrain,v:扣押
distrainment,n:扣押
distraint,n:扣押
distress,"n:痛苦,苦恼,不幸,悲痛,危难,烦恼,苦难,贫苦,悲叹,灾殃,愁苦,苦楚,穷困,苦痛,愁闷|v:悲痛,扣押,愁苦,困厄,愁闷"
distress area,n:灾区
distress landing,n:迫降
distressed,"a:苦恼,悲痛,哀伤,痛心,忧戚,忧伤,愁,酸楚|v:愁"
distressed area,n:灾区
distributary,"n:分流,减河,引河,支渠,支流"
distribute,"v:分布,分配,分发,散发,发给,配,发行,分,区分,发布,颁布,俵,经售,分送,颁,实施,发,分开,经销,配给,散,散布,播撒,拆"
distribute over,v:分布
distributed,a:分布式
distributee,n:继承人
distribution,"n:分布,分配,分发,销售,布局,分类,配置|v:分布,分配"
distribution board,n:配电盘
distribution switchboard,n:配电盘
distributor,"n:批发商,配电盘"
district,"n:地区,区,管区,教区,路,分区,区间,行政区,地域,市区,地段,区域,地带"
district constituency,n:选区
district of columbia,n:哥伦比亚
distrust,"n:猜疑,疑惑|v:怀疑"
distrustful,v:疑神疑鬼|a:疑神疑鬼
distrustfulness,n:多疑
distune,v:解调
disturb,"v:打扰,扰乱,打搅,干扰,惊动,搅扰,扰动,搅,搅乱,烦扰,侵犯,扰,骚乱,相扰,打岔,捣乱,妨碍,妨害,捣,骚,娆,失调,撄,骚动"
disturbance,"n:扰动,干扰,骚乱,动乱,失调,乱子,闹乱子,骚动,变乱,丧乱,妨害,纷乱,闹事,侵犯,风波,事端|v:干扰"
disturbances,n:风风雨雨
disturbed,a:不安
disturbing,a:骚
disunion,"n:分裂,分离,不和,倾轧|v:分裂"
disunite,"v:分裂,不和,分离"
disunited,n:一盘散沙|v:一盘散沙
disunity,n:离心离德|v:离心离德
disuse,"v:不用,废止,废弃,废|n:废弃"
disused,a:废
disvalue,v:轻视|n:贬值
ditch,"n:水渠,沟槽,沟渎,沟子,明沟,渠道,阳沟|v:抛弃,出轨,甩开,摆脱,抛开"
ditch between fields,v:圳
ditch in fields,v:浍
ditch reed,v:芦苇
ditching,v:抛开
dither,"v:犹豫不决,发抖,颤动,颤抖,优柔寡断,三心二意|n:发抖,颤抖"
ditto,"v:同上,重复,复制|n:复制品,副本,同上|d:如前所述"
dittography,n:重复
ditty,"n:小调,唱,小曲儿,小曲|v:唱"
ditty bag,n:针线包
diuresis,n:利尿
diuretic,n:利尿剂
diurnal,"n:日记,周日,日报|a:白天"
diurnally,d:天天
divagate,"v:离题,流浪"
divagation,n:流浪
divan,"n:大楼,咖啡馆,会议,沙发床,委员会,局,法庭"
divaricate,"v:分歧,分叉"
dive,"v:跳水,潜入,俯冲,潜水|n:猛冲"
dive into,v:潜入
divel,n:哈喇子
diver,n:潜水员
diverge,"v:发散,偏离,分歧,分岔,分开,离,岔开,分叉"
diverge from,v:分歧
diverge to,v:岔开
divergence,"n:发散,偏差,分歧,离题,出入|v:发散"
divergency,v:发散|n:发散
divergent,a:歧
diverging lens,n:发散透镜
divers,n:指头
diverse,"a:不同,别的"
diversification,"n:多样化,形形色色|v:多样化"
diversified,"a:参差,多种,多种多样|v:多种,花花搭搭"
diversiform-leaved poplar,n:胡杨
diversify,v:多样化
diversion,"n:娱乐,改道,转移,消遣,佯攻,转向,排遣,转换,挪用,偏转,转角"
diversion canal,n:引河
diversion dam,n:拦河坝
diversity,"n:多样性,多样,差异,参差,多种,异样,驳杂,不同,繁多|a:不同"
divert,"v:转移,挪用,引水,排遣,佯攻,转向,移用,改行"
divert one's attention,v:分心
divert oneself,"v:解闷,消遣"
divert oneself from,"v:排解,排遣"
divertimento,n:套曲
divertissement,n:娱乐
dives,"n:富豪,豪富"
divest,"v:剥夺,脱去"
divestiture,n:剥夺
divestment,n:剥夺
divide,"v:划分,分,分裂,分开,分割,除,表决,分担,分配,分享,隔开,分隔,分离,离间,区分,分派,劈|n:分界线,分裂,分,分配,分水岭,分界"
divide crest,v:分水岭
divide equally,"v:平分秋色,均分,平分"
divide evenly,v:匀
divide forces,v:分兵
divide in half,v:对半
divide into groups,v:分组
divide into halves,v:对
divide into levels,v:分档
divide into portions,v:揲
divide into two,v:一分为二
divide pro rata,v:分摊
divide the loot,v:坐地分赃
divide the work,v:分工
divide up,v:分割
dividen,n:股息
dividend,"n:被除数,股利,股息,红利,分红,报酬,红,利息,份儿"
dividends,n:股息
divident,n:股利
divider,"n:分规,减速器,除数,分线规,两脚规"
dividers,"n:分线规,两脚规,规"
dividing crest,n:分水岭
dividing line,n:分界
dividing rule,n:刻度尺
divination,"n:占卜,占卦,卜卦,预言|v:占卜"
divinatory symbol,n:卦
divinatory symbols,n:卦
divinatory words,n:繇
divine,"v:猜测,察觉,推测|n:神学家,造物主|a:神乎其神"
divine by astrology,v:占星
divine skill,n:巧夺天工
diving,v:潜水
diving suit,n:潜水衣
divinities,"n:神灵,神明"
divinity,"n:神学,神,神奇,神力,神人,神威,神道,天使,上帝"
divinity scool,n:神学院
division,"n:师,除法,部门,分,表决,部分,分裂,师团,分割,刻度,分配,部,区分,区域,节,分派,选区,隔墙,辑,间隔,门,分界,分开,组,分隔,倾轧,司|v:分割,分隔,分裂"
division circle,n:刻度盘
division commander,n:师长
division headquarters,n:师部
division of labour,n:分工
division plate,n:隔板
divisional commander,n:师长
divisor,"n:除数,因子,约数"
divorce,"n:离婚|v:脱离,分离,离异"
divorcement,n:离婚
divot,n:草皮
divulgate,"v:宣布,公布"
divulgation,v:泄漏|n:暴露
divulge,"v:泄露,泄漏,透露,宣布,暴露,走漏,揭发,透漏,公布,漏"
divulge a secret,"v:透风,泄密"
divulge information,v:通风
divulgence,n:暴露
divulse,"v:撕开,扯裂"
divulsevulsion,n:扯裂
divulsion,"n:扯裂,撕开|v:扯裂"
divvy,"v:分享,分配,分摊|n:份儿"
dixie cup,n:纸杯
dizen,v:装饰
dizziness,"n:眩晕,头晕,头昏|v:头昏,头晕"
dizzy,"v:晕,昏眩,目眩,做,头昏|a:晕晕忽忽,昏天黑地,晕乎乎"
djakarta,n:雅加达
djebel,n:山
djibouti,n:吉布提
dnieper,n:第聂伯河
do,"v:做,工作,干,为,进行,完成,作,行,搞,行动,处理,弄,办,产生,洗,表现,带来,对待,从事,利用,适合,行事,千万,欺骗,烧,担任,加以,收拾,修理,闹,翻译,整,参观,服刑,访问,煎,款待,游览,杀死,搞垮,招待,上演,改写,逛,作到,预备,修缮,抄,打败,解答,受得了,忍,创作|n:行动,成功"
do a deed,v:做事
do a disservice,v:帮倒忙
do a favour,v:帮忙
do a guy,v:逃跑
do alternately,v:穿插
do an impossibility,v:与虎谋皮
do away with,"v:屏除,摆脱,去掉,废除"
do back-chat,v:反唇相讥
do battle,v:作战
do business,"v:营业,贾,做事"
do by rote,v:生搬硬套
do cocky,v:翘尾巴
do cooking,v:起火
do credit to,"v:增光,争光"
do damage to,v:损害
do desultory reading,v:涉猎
do detective work,v:侦探
do down,v:欺骗
do duty for,v:代替
do embroidery,v:绣花
do everything freely,v:为所欲为
do everything possible,v:想方设法
do everything uncomplainingly,v:任劳任怨
do evil,v:为非作歹
do execution,v:奏效
do exercises,v:出操
do farm work,v:种地
do fine,v:得手
do good,n:有益
do good cooks,v:行善
do good deeds,v:积德
do good works,"v:行善,修好"
do harm to,"v:破坏,加害,害,损害"
do have,v:不无
do hurt to,v:伤害
do in,v:搞垮
do legwork,v:跑腿儿
do manual labour,"v:做活儿,做活"
do manual work,v:做工
do mischief,"v:捣蛋,捣鬼,为非作歹"
do missionary work,v:传教
do not,v:勿
do not cease,v:不息
do not expect,v:不谓
do not intend,v:不图
do not mind,v:不厌
do not seek,v:不图
do not tally,v:不符
do nothing,v:无所作为
do nothing but,n:只是
do obeisance,v:拜
do office work,n:办公
do one,"v:尽,尽量"
do one's best,"v:卖,一力,尽心竭力,尽力而为"
do one's duty,v:尽义务
do one's utmost,"v:全力以赴,竭尽,竭力,尽力,极力,尽心竭力"
do one's washing,v:洗衣
do oneself well,v:养尊处优
do out of,v:骗取
do over,v:改作
do peace making,v:打圆场
do philanthropic acts,v:修桥补路
do pioneering work,v:创业
do posthumously,v:追
do research on,v:查考
do rush repairs,v:抢修
do sloppy work,v:拆烂污
do so,v:那么着
do solid work,v:脚踏实地
do somebody wrong,v:含血喷人
do somebody's bidding,v:唯命是从
do something,v:将
do something counterproductive,v:抱薪救火
do something desperately,v:拼命
do something for appearance,v:装样子
do something incidentally,v:带
do something jointly,v:协办
do something perfunctorily,"v:应付,搪塞"
do something single-handed,v:单干
do something unintentionally,v:歪打正着
do something worthwhile,v:作为
do spade work,n:打基础
do textual research,v:考订
do that,v:那么着
do the grand,v:装腔作势
do the impossible,v:缘木求鱼
do the peacemaking,v:打圆场
do things,v:干事
do things carelessly,v:敷衍了事
do things perfunctorily,v:敷衍塞责
do things piecemeal,v:零敲碎打
do things quickly,v:快手快脚
do things recklessly,v:毛手毛脚
do things sloppily,v:拖泥带水
do things stealthily,"v:偷鸡摸狗,蹑手蹑脚"
do up,"v:系,修缮,收拾"
do violence to,"v:损害,破坏"
do virtue of,v:由于
do weapon practice,v:练武
do well,"v:做好,搞好"
do well in,v:搞好
do window dressing,v:装潢门面
do with,"v:受得了,忍,利用"
do with difficulty,v:勉强
do wrong,v:胡作非为
do-all,"n:勤杂工,杂役"
dobber,"n:浮标,浮子"
dobbin,"n:驽马,驮马"
dobson,n:水虿
doby,n:住处
doc,"n:大夫,医生"
docent,n:讲师
docile,"a:驯服,驯良,服贴,温驯|v:驯化"
docile subject,n:顺民
docility,"n:驯良,听话,温顺"
docimasia,"v:检查,检验"
dock,"v:对接,缩减,剪短,装卸,削减,会合|n:草本植物,飞机库,海港"
dockage,"n:削减,扣除,缩减,杂质"
docket,"n:议事日程,购货证,摘要,概略,签条,标签"
docking link up,n:对接
dockyard,n:船坞
doctor,"n:医生,大夫,博士,医师,巫医|v:修复,阉割,诊治"
doctorand,n:副博士
doctorial student,n:博士生
doctor's advice,n:医嘱
doctrinairenairism,n:教条主义
doctrinairism,"n:空论,教条主义"
doctrinarism,n:教条主义
doctrine,"n:学说,原则,教义,说,论,主义,教训,道,教条|v:说"
doctrinism,n:主义
document,"n:文件,文献,证件,件,公文,凭证,文书,书,证书"
documentary,n:记录片
documentary film,"n:纪录片,记录片"
documentation,"n:文档,案例"
documentor,n:记录器
dod,n:国防部
dodd,n:多德
dodder,"v:摇晃,摇摆,哆嗦|n:菟丝子"
dodder along,v:跌跌撞撞
dodecadactylon,n:十二指肠
dodge,"v:躲开,躲,避开|n:搪塞,推托,闪开"
dodge about,"v:闪烁其词,躲躲闪闪,闪躲"
dodgem,n:碰碰车
dodger,n:传单
dodgery,"n:躲避,推托,欺诈"
dodging,v:遮光
doer,n:实干家|v:做
doeskin,n:做
doesn't make sense,v:说不过去
doeth,v:做
doevil,v:作孽
doff,"v:落,废除,脱去,脱"
doffer,n:盖板
dog,"n:狗,犬|v:尾随,钉梢,浮夸|d:非常"
dog breakfast,n:乱七八糟
dog collar,n:项链
dog days,"v:伏,伏天,炎暑,暑天"
dog dinner,n:乱七八糟
dog down,v:夹住
dog nail,v:道钉
dog salmon,n:鲑
dog star,n:天狼星
dogbane,n:茶叶花
dogberry,n:山茱萸
dogface,n:士兵
dog-fight,n:混战
dogged,"a:顽强,固执|v:牛脾气|n:打油诗"
doggedness,n:犟劲
doggerel,"n:打油诗,顺口溜"
doggery,"n:乌合之众,狗"
doggone,"d:非常,极|n:诅咒"
dogleg,"n:急转弯,扭曲|v:偏转"
dog-leg path,n:折线
dogma,"n:教条,教义,信条"
dogmatise,v:武断
dogmatism,"n:教条主义,武断"
dogmatize,"v:武断,独断"
dogsbody,n:部下
dogsleep,n:打盹
dogtooth,n:犬齿
dogtrot,n:小跑
dogwatch,n:值班
dogwood,n:山茱萸
dogwood fruit,n:山茱萸
doing,"n:做,举动,干,所作所为,活动,行动,实行"
doing one's utmost,v:苦
doings,"n:举动,活动"
doit,n:琐事
dol,n:田野
dolce,a:甜食|n:甜食
doldrums,"n:郁闷,沉闷,忧郁,萎靡不振"
dole,"n:多尔,施舍,悲叹|v:施舍"
doleful,"a:悲戚,哀"
dolerite,n:辉绿岩
dolittle,n:懒汉
doll,"n:洋娃娃,玩偶|v:浓妆艳抹"
doll baby,"n:情人,爱人,洋娃娃"
doll up,v:浓妆艳抹
dollar,"n:美元,美金,美钞,财富"
dollar a,n:澳元
dollarfish,n:银鲳
dollop,"n:少量,一块,一点儿"
dolly,n:手推车
dolomite,n:白云石
dolor,n:忧伤
dolour,n:悲哀
dolphin,"n:海豚,海猪"
dolphin butterfly,n:海豚泳
dolphin fishtail,n:海豚泳
dols,n:美元
dolt,"n:呆子,傻瓜,笨蛋"
domain,"n:区域,领域,域,范围,领地,领土,范畴,王国,畴,房地产,域名,版图,疆域,特长,产业,地盘,管区"
domain name,n:域名
dome,"n:大厦,拱顶,脑袋,丘,殿宇,窟窿,头"
dome light,n:顶灯
domestic,"a:家用|n:佣人,家"
domestic affairs,"n:家事,内政"
domestic animal,"n:家禽,牲,畜生,畜"
domestic bird,n:家禽
domestic discipline,"n:家规,家教"
domestic fowl,"n:家畜,家鸡"
domestic hare,n:家兔
domestic harmony,n:夫唱妇随
domestic money,n:家用
domestic product,n:国产货
domestic products,"n:国货,国产货"
domestic rabbit,n:家兔
domestic servant,n:家奴
domestic story,n:内难
domestic trivia,n:家常
domesticate,"v:驯养,驯,驯化,培养,引入,驯服"
domestication,"n:驯化,驯养"
domesticity,"n:家务,家风,深居简出"
domicile,"v:安家,居住|n:住所"
domicile of origin,"n:原籍,祖籍"
domiciliate,v:定居
dominance,"n:优势,控制,支配,显性,统治,优越|a:显性"
dominancy,n:优势
dominant,"n:主因,要素,主导|v:占优势|a:占优势"
dominant position,n:优势
dominate,"v:支配,控制,统治,高耸,把持,左右,俯视,驾驭,操纵,占优势,主宰,把,控,高出,霸,超出,独揽,把揽,称霸,优于,独霸"
dominate exclusively,v:独霸
